id_tiempo|fecha|dia|mes|nombre_mes|anio|trimestre
1|2026-01-01|1|1|Enero|2026|1
2|2026-01-02|2|1|Enero|2026|1
3|2026-01-03|3|1|Enero|2026|1
4|2026-01-04|4|1|Enero|2026|1
5|2026-01-05|5|1|Enero|2026|1
6|2026-01-06|6|1|Enero|2026|1
7|2026-01-07|7|1|Enero|2026|1
8|2026-01-08|8|1|Enero|2026|1
9|2026-01-09|9|1|Enero|2026|1
10|2026-01-10|10|1|Enero|2026|1
11|2026-01-11|11|1|Enero|2026|1
12|2026-01-12|12|1|Enero|2026|1
13|2026-01-13|13|1|Enero|2026|1
14|2026-01-14|14|1|Enero|2026|1
15|2026-01-15|15|1|Enero|2026|1
16|2026-01-16|16|1|Enero|2026|1
17|2026-01-17|17|1|Enero|2026|1
18|2026-01-18|18|1|Enero|2026|1
19|2026-01-19|19|1|Enero|2026|1
20|2026-01-20|20|1|Enero|2026|1
21|2026-01-21|21|1|Enero|2026|1
22|2026-01-22|22|1|Enero|2026|1
23|2026-01-23|23|1|Enero|2026|1
24|2026-01-24|24|1|Enero|2026|1
25|2026-01-25|25|1|Enero|2026|1
26|2026-01-26|26|1|Enero|2026|1
27|2026-01-27|27|1|Enero|2026|1
28|2026-01-28|28|1|Enero|2026|1
29|2026-01-29|29|1|Enero|2026|1
30|2026-01-30|30|1|Enero|2026|1
31|2026-01-31|31|1|Enero|2026|1
32|2026-02-01|1|2|Febrero|2026|1
33|2026-02-02|2|2|Febrero|2026|1
34|2026-02-03|3|2|Febrero|2026|1
35|2026-02-04|4|2|Febrero|2026|1
36|2026-02-05|5|2|Febrero|2026|1
37|2026-02-06|6|2|Febrero|2026|1
38|2026-02-07|7|2|Febrero|2026|1
39|2026-02-08|8|2|Febrero|2026|1
40|2026-02-09|9|2|Febrero|2026|1
41|2026-02-10|10|2|Febrero|2026|1
42|2026-02-11|11|2|Febrero|2026|1
43|2026-02-12|12|2|Febrero|2026|1
44|2026-02-13|13|2|Febrero|2026|1
45|2026-02-14|14|2|Febrero|2026|1
46|2026-02-15|15|2|Febrero|2026|1
47|2026-02-16|16|2|Febrero|2026|1
48|2026-02-17|17|2|Febrero|2026|1
49|2026-02-18|18|2|Febrero|2026|1
50|2026-02-19|19|2|Febrero|2026|1
51|2026-02-20|20|2|Febrero|2026|1
52|2026-02-21|21|2|Febrero|2026|1
53|2026-02-22|22|2|Febrero|2026|1
54|2026-02-23|23|2|Febrero|2026|1
55|2026-02-24|24|2|Febrero|2026|1
56|2026-02-25|25|2|Febrero|2026|1
57|2026-02-26|26|2|Febrero|2026|1
58|2026-02-27|27|2|Febrero|2026|1
59|2026-02-28|28|2|Febrero|2026|1
60|2026-03-01|1|3|Marzo|2026|1
61|2026-03-02|2|3|Marzo|2026|1
62|2026-03-03|3|3|Marzo|2026|1
63|2026-03-04|4|3|Marzo|2026|1
64|2026-03-05|5|3|Marzo|2026|1
65|2026-03-06|6|3|Marzo|2026|1
66|2026-03-07|7|3|Marzo|2026|1
67|2026-03-08|8|3|Marzo|2026|1
68|2026-03-09|9|3|Marzo|2026|1
69|2026-03-10|10|3|Marzo|2026|1
70|2026-03-11|11|3|Marzo|2026|1
71|2026-03-12|12|3|Marzo|2026|1
72|2026-03-13|13|3|Marzo|2026|1
73|2026-03-14|14|3|Marzo|2026|1
74|2026-03-15|15|3|Marzo|2026|1
75|2026-03-16|16|3|Marzo|2026|1
76|2026-03-17|17|3|Marzo|2026|1
77|2026-03-18|18|3|Marzo|2026|1
78|2026-03-19|19|3|Marzo|2026|1
79|2026-03-20|20|3|Marzo|2026|1
80|2026-03-21|21|3|Marzo|2026|1
81|2026-03-22|22|3|Marzo|2026|1
82|2026-03-23|23|3|Marzo|2026|1
83|2026-03-24|24|3|Marzo|2026|1
84|2026-03-25|25|3|Marzo|2026|1
85|2026-03-26|26|3|Marzo|2026|1
86|2026-03-27|27|3|Marzo|2026|1
87|2026-03-28|28|3|Marzo|2026|1
88|2026-03-29|29|3|Marzo|2026|1
89|2026-03-30|30|3|Marzo|2026|1
90|2026-03-31|31|3|Marzo|2026|1
91|2026-04-01|1|4|Abril|2026|2
92|2026-04-02|2|4|Abril|2026|2
93|2026-04-03|3|4|Abril|2026|2
94|2026-04-04|4|4|Abril|2026|2
95|2026-04-05|5|4|Abril|2026|2
96|2026-04-06|6|4|Abril|2026|2
97|2026-04-07|7|4|Abril|2026|2
98|2026-04-08|8|4|Abril|2026|2
99|2026-04-09|9|4|Abril|2026|2
100|2026-04-10|10|4|Abril|2026|2
101|2026-04-11|11|4|Abril|2026|2
102|2026-04-12|12|4|Abril|2026|2
103|2026-04-13|13|4|Abril|2026|2
104|2026-04-14|14|4|Abril|2026|2
105|2026-04-15|15|4|Abril|2026|2
106|2026-04-16|16|4|Abril|2026|2
107|2026-04-17|17|4|Abril|2026|2
108|2026-04-18|18|4|Abril|2026|2
109|2026-04-19|19|4|Abril|2026|2
110|2026-04-20|20|4|Abril|2026|2
111|2026-04-21|21|4|Abril|2026|2
112|2026-04-22|22|4|Abril|2026|2
113|2026-04-23|23|4|Abril|2026|2
114|2026-04-24|24|4|Abril|2026|2
115|2026-04-25|25|4|Abril|2026|2
116|2026-04-26|26|4|Abril|2026|2
117|2026-04-27|27|4|Abril|2026|2
118|2026-04-28|28|4|Abril|2026|2
119|2026-04-29|29|4|Abril|2026|2
120|2026-04-30|30|4|Abril|2026|2
